序号,文件名,行业,地区样本,外贸阶段,建议难度,推荐套餐,场景数量
1,LMS-销售训练案例扩展-01-机械配件加工.docx,机械配件加工,山东潍坊,外贸纯0-1起步,新手,L1一星启航版 ¥11800/年,5
2,LMS-销售训练案例扩展-02-农机设备.docx,农机设备,河南洛阳,初步试水阶段,初级,标准版 2.98 万元,5
3,LMS-销售训练案例扩展-03-锂电叉车.docx,锂电叉车,山东德州,外贸成长瓶颈期,中级,L5五星旗舰版 ¥199800/年,5
4,LMS-销售训练案例扩展-04-家居灯具.docx,家居灯具,广东中山,单一区域成熟期,中高级,L2二星扬帆版 ¥39800/年,5
5,LMS-销售训练案例扩展-05-包装机械.docx,包装机械,浙江温州,成熟团队全球化升级期,高级,L3三星远航版 ¥69800/年,5
6,LMS-销售训练案例扩展-06-汽摩配件.docx,汽摩配件,河北邢台,外贸纯0-1起步,新手,L2二星扬帆版 ¥39800/年,5
7,LMS-销售训练案例扩展-07-五金工具.docx,五金工具,浙江金华,初步试水阶段,初级,L3三星远航版 ¥69800/年,5
8,LMS-销售训练案例扩展-08-宠物用品.docx,宠物用品,江苏苏州,外贸成长瓶颈期,中级,L2二星扬帆版 ¥39800/年,5
9,LMS-销售训练案例扩展-09-户外家具.docx,户外家具,浙江宁波,单一区域成熟期,中高级,L4四星领航版 ¥128000/年,5
10,LMS-销售训练案例扩展-10-工业泵阀.docx,工业泵阀,江苏盐城,成熟团队全球化升级期,高级,L4四星领航版 ¥128000/年,5
11,LMS-销售训练案例扩展-11-建材卫浴.docx,建材卫浴,福建泉州,外贸纯0-1起步,新手,L3三星远航版 ¥69800/年,5
12,LMS-销售训练案例扩展-12-安防设备.docx,安防设备,广东深圳,初步试水阶段,初级,L4四星领航版 ¥128000/年,5
13,LMS-销售训练案例扩展-13-新能源配件.docx,新能源配件,江苏常州,外贸成长瓶颈期,中级,L5五星旗舰版 ¥199800/年,5
14,LMS-销售训练案例扩展-14-塑料制品.docx,塑料制品,浙江台州,单一区域成熟期,中高级,L2二星扬帆版 ¥39800/年,5
15,LMS-销售训练案例扩展-15-食品加工设备.docx,食品加工设备,山东诸城,成熟团队全球化升级期,高级,L3三星远航版 ¥69800/年,5
16,LMS-销售训练案例扩展-16-医疗耗材.docx,医疗耗材,湖北仙桃,外贸纯0-1起步,新手,L4四星领航版 ¥128000/年,5
17,LMS-销售训练案例扩展-17-纺织面料.docx,纺织面料,江苏南通,初步试水阶段,初级,L3三星远航版 ¥69800/年,5
18,LMS-销售训练案例扩展-18-厨房用品.docx,厨房用品,广东阳江,外贸成长瓶颈期,中级,L2二星扬帆版 ¥39800/年,5
19,LMS-销售训练案例扩展-19-儿童玩具.docx,儿童玩具,浙江义乌,单一区域成熟期,中高级,L3三星远航版 ¥69800/年,5
20,LMS-销售训练案例扩展-20-办公家具.docx,办公家具,广东佛山,成熟团队全球化升级期,高级,L4四星领航版 ¥128000/年,5
21,LMS-销售训练案例扩展-21-服装辅料.docx,服装辅料,浙江嘉兴,外贸纯0-1起步,新手,L2二星扬帆版 ¥39800/年,5
22,LMS-销售训练案例扩展-22-电子元器件.docx,电子元器件,广东东莞,初步试水阶段,初级,L5五星旗舰版 ¥199800/年,5
23,LMS-销售训练案例扩展-23-园林工具.docx,园林工具,浙江永康,外贸成长瓶颈期,中级,L4四星领航版 ¥128000/年,5
24,LMS-销售训练案例扩展-24-水处理设备.docx,水处理设备,江苏无锡,单一区域成熟期,中高级,L3三星远航版 ¥69800/年,5
25,LMS-销售训练案例扩展-25-化工助剂.docx,化工助剂,山东淄博,成熟团队全球化升级期,高级,L4四星领航版 ¥128000/年,5
26,LMS-销售训练案例扩展-26-机械配件加工.docx,机械配件加工,山东潍坊,外贸纯0-1起步,新手,L1一星启航版 ¥11800/年,5
27,LMS-销售训练案例扩展-27-农机设备.docx,农机设备,河南洛阳,初步试水阶段,初级,标准版 2.98 万元,5
28,LMS-销售训练案例扩展-28-锂电叉车.docx,锂电叉车,山东德州,外贸成长瓶颈期,中级,L5五星旗舰版 ¥199800/年,5
29,LMS-销售训练案例扩展-29-家居灯具.docx,家居灯具,广东中山,单一区域成熟期,中高级,L2二星扬帆版 ¥39800/年,5
30,LMS-销售训练案例扩展-30-包装机械.docx,包装机械,浙江温州,成熟团队全球化升级期,高级,L3三星远航版 ¥69800/年,5
31,LMS-销售训练案例扩展-31-汽摩配件.docx,汽摩配件,河北邢台,外贸纯0-1起步,新手,L2二星扬帆版 ¥39800/年,5
32,LMS-销售训练案例扩展-32-五金工具.docx,五金工具,浙江金华,初步试水阶段,初级,L3三星远航版 ¥69800/年,5
33,LMS-销售训练案例扩展-33-宠物用品.docx,宠物用品,江苏苏州,外贸成长瓶颈期,中级,L2二星扬帆版 ¥39800/年,5
34,LMS-销售训练案例扩展-34-户外家具.docx,户外家具,浙江宁波,单一区域成熟期,中高级,L4四星领航版 ¥128000/年,5
35,LMS-销售训练案例扩展-35-工业泵阀.docx,工业泵阀,江苏盐城,成熟团队全球化升级期,高级,L4四星领航版 ¥128000/年,5
36,LMS-销售训练案例扩展-36-建材卫浴.docx,建材卫浴,福建泉州,外贸纯0-1起步,新手,L3三星远航版 ¥69800/年,5
37,LMS-销售训练案例扩展-37-安防设备.docx,安防设备,广东深圳,初步试水阶段,初级,L4四星领航版 ¥128000/年,5
38,LMS-销售训练案例扩展-38-新能源配件.docx,新能源配件,江苏常州,外贸成长瓶颈期,中级,L5五星旗舰版 ¥199800/年,5
39,LMS-销售训练案例扩展-39-塑料制品.docx,塑料制品,浙江台州,单一区域成熟期,中高级,L2二星扬帆版 ¥39800/年,5
40,LMS-销售训练案例扩展-40-食品加工设备.docx,食品加工设备,山东诸城,成熟团队全球化升级期,高级,L3三星远航版 ¥69800/年,5
41,LMS-销售训练案例扩展-41-医疗耗材.docx,医疗耗材,湖北仙桃,外贸纯0-1起步,新手,L4四星领航版 ¥128000/年,5
42,LMS-销售训练案例扩展-42-纺织面料.docx,纺织面料,江苏南通,初步试水阶段,初级,L3三星远航版 ¥69800/年,5
43,LMS-销售训练案例扩展-43-厨房用品.docx,厨房用品,广东阳江,外贸成长瓶颈期,中级,L2二星扬帆版 ¥39800/年,5
44,LMS-销售训练案例扩展-44-儿童玩具.docx,儿童玩具,浙江义乌,单一区域成熟期,中高级,L3三星远航版 ¥69800/年,5
45,LMS-销售训练案例扩展-45-办公家具.docx,办公家具,广东佛山,成熟团队全球化升级期,高级,L4四星领航版 ¥128000/年,5
46,LMS-销售训练案例扩展-46-服装辅料.docx,服装辅料,浙江嘉兴,外贸纯0-1起步,新手,L2二星扬帆版 ¥39800/年,5
47,LMS-销售训练案例扩展-47-电子元器件.docx,电子元器件,广东东莞,初步试水阶段,初级,L5五星旗舰版 ¥199800/年,5
48,LMS-销售训练案例扩展-48-园林工具.docx,园林工具,浙江永康,外贸成长瓶颈期,中级,L4四星领航版 ¥128000/年,5
49,LMS-销售训练案例扩展-49-水处理设备.docx,水处理设备,江苏无锡,单一区域成熟期,中高级,L3三星远航版 ¥69800/年,5
50,LMS-销售训练案例扩展-50-化工助剂.docx,化工助剂,山东淄博,成熟团队全球化升级期,高级,L4四星领航版 ¥128000/年,5
